,original tweet,neutral score,polar score,trimmed tweet,latitude,longitude
1986,Updated: General Information on #NY10 NB at US-Canadian Border https://t.co/rkxxMowQzn,1.0,0.0,updated general information new york 10 nb us canadian border https co rkxx mow qzn ,40.71455000000003,-74.00713999999994
1987,Cleared: Incident on #EastBus from Beach Channel Drive and B.35th Street to Rockaway Ferry Terminal,0.909,0.1027,cleared incident east bus beach channel drive b 35th street rocka way ferry terminal ,40.58267158290901,-73.83516872154233
1988,Cleared: Incident on #AstoriaFerryRoute Both directions from Astoria to Wall Street/Pier 11,0.887,0.1027,cleared incident astoria ferry route directions astoria wall street pier 11 ,40.772050000000036,-73.92605999999995
1989,Cleared: Incident on #ShuttleBus from Beach Channel Drive and B.35th Street to Rockaway Ferry Terminal,0.909,0.1027,cleared incident shuttle bus beach channel drive b 35th street rocka way ferry terminal ,40.58267158290901,-73.83516872154233
1990,Cleared: Incident on #SprainBrookStateParkway NB at Exit   - Jackson Avenue,0.851,0.1027,cleared incident sprain brook state park way nb exit jackson avenue ,40.745716287855856,-73.9459504536661
1991,Updated: Construction on #HarlemRiverDrive NB at Willis Avenue Bridge https://t.co/d2dCDE6HfN,1.0,0.0,updated construction harlem river drive nb willis avenue bridge https co d2d cde6hf n ,40.71455000000003,-74.00713999999994
1992,Cleared: Incident on #NY43 Both directions at Methodist Farm Road,0.865,0.1027,cleared incident new york 43 directions methodist farm road ,40.71455000000003,-74.00713999999994
1993,Cleared: Construction on #VariousBus from Archer Av and Sutphin Blvd to Archer Av : 150 St,0.909,0.1027,cleared construction various bus archer av sutphin blvd archer av 150 st ,40.69535057859485,-73.80327435750483
1994,Construction on #RFKTriboroughBridge NB at Bronx-Manhattan Bound https://t.co/mzBTPQvJfQ,1.0,0.0,construction rfktriborough bridge nb bronx manhattan bound https co mz btpqv jf q ,40.82600000000008,-73.92308999999995
1995,Cleared: Incident on #ServiceBus from Beach Channel Drive and B.35th Street to Rockaway Ferry Terminal,0.909,0.1027,cleared incident service bus beach channel drive b 35th street rocka way ferry terminal ,40.58267158290901,-73.83516872154233
1996,Incident on #3Line at New Lots Avenue Station https://t.co/eEjrVvLOK7,1.0,0.0,incident 3line new lots avenue station https co e ejr vv lok7 ,40.65683331566243,-73.90448409814742
