,CRASH TIME,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,distance,severity,neutral sentiment,target
180,1810,40.81963,-73.911736,0,0,0,0,0,0,0,0,4360021,441,45,1,1
181,925,40.65728,-73.947365,0,0,0,0,0,0,0,0,4363815,218,35,1,1
182,1900,40.610126,-73.9906,0,0,0,0,0,0,0,0,4358478,401,25,0,1
183,1230,40.66095,-73.92905999999999,1,0,0,0,0,0,1,0,4369818,485,23,1,1
184,2050,40.69335,-73.90041,1,0,0,0,0,0,1,0,4358951,502,50,1,1
185,1750,40.723304999999996,-74.00299,0,0,0,0,0,0,0,0,4369299,143,255,1,1
186,10,40.69536,-73.93236999999999,1,0,0,0,1,0,0,0,4367173,119,48,1,1
187,23,40.862495,-73.9342,0,0,0,0,0,0,0,0,4370389,146,45,1,1
188,640,40.575443,-73.99555,0,0,0,0,0,0,0,0,4357290,858,29,1,1
189,1426,40.846466,-73.938385,0,0,0,0,0,0,0,0,4363460,354,52,1,1
190,1700,40.694990000000004,-73.9073,0,0,0,0,0,0,0,0,4358034,218,50,1,1
191,829,40.880257,-73.876785,3,0,3,0,0,0,0,0,4362574,468,9,0,1
192,1945,40.857018,-73.90361999999999,2,0,0,0,0,0,2,0,4371146,379,40,1,1
193,1900,40.772415,-73.97874,0,0,0,0,0,0,0,0,4363429,26,98,1,1
194,1922,40.606842,-74.0155,0,0,0,0,0,0,0,0,4370952,1356,10,1,1
195,1949,40.66169,-73.88757,1,0,0,0,0,0,1,0,4373935,517,41,0,1
196,900,40.715145,-73.74935,1,0,0,0,1,0,0,0,4370718,1190,6,1,1
197,1958,40.809048,-73.92856,0,0,0,0,0,0,0,0,4371219,27,63,0,1
198,1518,40.815933,-73.90992,1,0,0,0,0,0,1,0,4368522,395,40,1,1
199,252,40.68861,-73.84218,0,0,0,0,0,0,0,0,4361359,695,9,0,1
200,1115,40.655712,-73.958855,0,0,0,0,0,0,0,0,4367437,78,40,1,1
201,2120,40.8357,-73.88559000000001,0,0,0,0,0,0,0,0,4371737,103,25,1,1
202,1000,40.892513,-73.84543000000001,2,0,0,0,0,0,2,0,4365385,281,3,1,1
203,1637,40.862778000000006,-73.906166,0,0,0,0,0,0,0,0,4359868,189,44,1,1
204,2006,40.717014,-73.82970999999999,1,0,0,0,0,0,1,0,4368463,553,21,0,1
205,1400,40.75927,-73.980896,0,0,0,0,0,0,0,0,4372603,193,157,0,1
206,1600,40.678806,-73.871376,0,0,0,0,0,0,0,0,4368134,251,31,0,1
207,900,40.734646000000005,-73.99036,0,0,0,0,0,0,0,0,4366812,312,183,1,1
208,1510,40.774853,-73.98066999999999,0,0,0,0,0,0,0,0,4360870,31,72,0,1
209,820,40.75677,-73.72949,2,0,0,0,0,0,2,0,4357731,389,18,1,1
210,1336,40.750427,-73.98311,0,0,0,0,0,0,0,0,4364390,94,153,0,1
211,1731,40.702329999999996,-73.76613,1,0,0,0,0,0,1,0,4365411,179,5,1,1
212,825,40.593384,-73.94442,0,0,0,0,0,0,0,0,4366881,82,27,1,1
213,1229,40.84176,-73.88371,0,0,0,0,0,0,0,0,4362001,235,23,0,1
214,945,40.723976,-74.00831,0,0,0,0,0,0,0,0,4367246,194,248,1,1
215,1351,40.864246,-73.904,1,0,0,0,0,0,1,0,4370913,366,39,1,1
216,2100,40.880947,-73.878204,0,0,0,0,0,0,0,0,4358360,311,9,0,1
217,1430,40.766064,-73.93089,1,0,1,0,0,0,0,0,4365277,227,46,1,1
218,20,40.674877,-73.96008,3,0,0,0,0,0,3,0,4357655,322,87,1,1
219,820,40.74494,-73.887344,0,0,0,0,0,0,0,0,4359506,446,15,0,1
220,1900,40.861805,-73.91056999999999,0,0,0,0,0,0,0,0,4365864,182,56,1,1
221,1645,40.690468,-73.9879,4,0,0,0,0,0,4,0,4371202,14,163,1,1
222,656,40.65594,-73.92151,0,0,0,0,0,0,0,0,4368015,922,17,1,1
223,1700,40.611008,-73.97674599999999,0,0,0,0,0,0,0,0,4359905,526,31,0,1
224,1400,40.83999,-73.86221,0,0,0,0,0,0,0,0,4368968,141,30,1,1
225,2145,40.696296999999994,-73.97716,0,0,0,0,0,0,0,0,4362381,102,173,0,1
226,0,40.83323,-73.873436,0,0,0,0,0,0,0,0,4358222,356,28,0,1
227,1047,40.82888,-73.93748000000001,2,0,0,0,0,0,2,0,4367643,264,47,1,1
228,1530,40.758633,-73.96579,0,0,0,0,0,0,0,0,4364622,198,127,1,1
229,235,40.827453999999996,-73.83661,4,0,0,0,0,0,4,0,4365386,145,43,1,1
230,1830,40.846226,-73.865486,0,0,0,0,0,0,0,0,4364402,378,23,1,1
231,1515,40.608433000000005,-74.15544,1,0,0,0,0,0,1,0,4366254,714,22,0,1
232,1700,40.64465,-73.87822,0,0,0,0,0,0,0,0,4369744,199,4,0,1
233,1745,40.838127,-73.91931,1,0,0,0,0,0,1,0,4361614,46,43,1,1
234,1044,40.657135,-73.90365,0,0,0,0,0,0,0,0,4362213,88,36,1,1
235,2000,40.735676,-74.00057,4,0,4,0,0,0,0,0,4369699,168,171,1,1
236,1110,40.717487,-73.95218,0,0,0,0,0,0,0,0,4371811,120,65,1,1
237,948,40.65473,-73.90692,1,0,0,0,1,0,0,0,4364245,318,28,1,1
238,1745,40.832573,-73.91051999999999,1,0,0,0,0,0,1,0,4369840,485,42,1,1
239,1200,40.591393,-73.907875,0,0,0,0,0,0,0,0,4371182,1785,3,1,1
240,1000,40.668293,-73.97924,0,0,0,0,0,0,0,0,4362870,322,58,1,1
241,1219,40.772964,-73.9542,0,0,0,0,0,0,0,0,4371722,164,70,0,1
242,1245,40.844485999999996,-73.846245,0,0,0,0,0,0,0,0,4361784,110,37,1,1
243,916,40.541126,-74.21777,0,0,0,0,0,0,0,0,4366948,290,25,0,1
244,1600,40.72364,-73.755775,0,0,0,0,0,0,0,0,4358335,480,8,1,1
245,1438,40.784355,-73.98116999999999,0,0,0,0,0,0,0,0,4360871,141,41,0,1
246,1930,40.664413,-73.901634,0,0,0,0,0,0,0,0,4368650,189,47,0,1
247,510,40.632435,-73.88818,2,0,0,0,0,0,2,0,4370175,1381,7,1,1
248,2122,40.816532,-73.92822,1,0,0,0,1,0,0,0,4361083,359,64,0,1
249,1400,40.704334,-73.80301,0,0,0,0,0,0,0,0,4371980,77,35,0,1
250,1830,40.846515999999994,-73.85995,0,0,0,0,0,0,0,0,4366856,428,28,1,1
251,1834,40.694576,-73.95615,1,0,1,0,0,0,0,0,4363196,216,99,1,1
252,1605,40.826275,-73.85970999999999,0,0,0,0,0,0,0,0,4363198,344,31,1,1
253,1815,40.848396,-73.90605,2,0,0,0,0,0,2,0,4362936,57,39,1,1
254,1445,40.684937,-73.91014,0,0,0,0,0,0,0,0,4360182,223,52,0,1
255,320,40.683094,-73.80596,0,0,0,0,0,0,0,0,4361517,383,18,0,1
256,0,40.74425,-73.7334,1,0,0,0,0,0,1,0,4357730,983,12,1,1
257,1100,40.792725,-73.973206,0,0,0,0,0,0,0,0,4357923,218,33,0,1
258,1842,40.782959999999996,-73.94403,0,0,0,0,0,0,0,0,4370313,675,62,0,1
259,1115,40.689228,-73.957,1,0,0,0,1,0,0,0,4360262,350,103,1,1
260,1200,40.678925,-74.01106,0,0,0,0,0,0,0,0,4364067,122,63,1,1
261,123,40.688765999999994,-73.99906999999999,0,0,0,0,0,0,0,0,4361282,102,229,1,1
262,1245,40.707027000000004,-73.9236,0,0,0,0,0,0,0,0,4361790,247,60,1,1
263,630,40.6727,-73.83933,0,0,0,0,0,0,0,0,4371688,452,13,1,1
264,1752,40.861744,-73.911804,1,0,0,0,1,0,0,0,4358428,260,55,1,1
265,2023,40.859646000000005,-73.86176,1,0,0,0,0,0,1,0,4358596,474,13,1,1
266,1535,40.696407,-73.85733,0,0,0,0,0,0,0,0,4359028,377,21,0,1
267,1440,40.72802,-73.88632,0,0,0,0,0,0,0,0,4367327,603,16,0,1
268,1602,40.864132,-73.89132,1,0,1,0,0,0,0,0,4366899,192,26,1,1
269,145,40.724693,-73.7541,1,0,0,0,0,0,1,0,4369476,534,8,0,1
270,250,40.73912,-73.72556999999999,0,0,0,0,0,0,0,0,4358564,422,9,1,1
271,1750,40.763958,-73.82814,1,0,1,0,0,0,0,0,4370204,193,17,0,1
272,1505,40.65609,-73.888756,0,0,0,0,0,0,0,0,4365103,565,24,1,1
273,2020,40.76635,-73.88756,2,0,0,0,0,0,2,0,4359787,190,16,0,1
274,1518,40.862812,-73.907555,0,0,0,0,0,0,0,0,4363484,50,47,1,1
275,400,40.88709,-73.87803000000001,1,0,0,0,0,0,1,0,4365463,540,7,0,1
276,900,40.906665999999994,-73.90286,0,0,0,0,0,0,0,0,4365453,720,11,1,1
277,742,40.6805,-73.915634,0,0,0,0,0,0,0,0,4364081,231,51,1,1
278,1412,40.801636,-73.95284000000001,0,0,0,0,0,0,0,0,4364720,295,40,0,1
279,1808,40.678596,-73.882416,1,0,0,0,0,0,1,0,4370609,458,55,0,1
280,923,40.825905,-73.82563,0,0,0,0,0,0,0,0,4358768,469,32,1,1
281,1045,40.902233,-73.843666,0,0,0,0,0,0,0,0,4372195,1049,5,1,1
282,1815,40.561077000000004,-74.16984000000001,0,0,0,0,0,0,0,0,4366113,978,8,0,1
283,1259,40.84698,-73.91065,1,0,0,0,0,0,1,0,4358174,322,43,1,1
284,1358,40.74091,-73.72665400000001,0,0,0,0,0,0,0,0,4363809,631,8,1,1
285,1400,40.68268,-73.922676,1,0,0,0,1,0,0,0,4360972,545,39,1,1
